kanji	on	kun	en	bg
恤	じゅつ しゅつ	めぐ.む あわ.れむ うれ.える	Relieve | Have Mercy	облекчавам | съжалявам се над
恧	じく にく じょく にょく	はじ.る	Ashamed | Embarrassed	засрамен | смутен
恪	かく	つつし.む	Carefulness	старателност | съвестност
恫	どう とう	いた.む	Painful | Fearful	болезнен | заплашителен
恬	てん	やすら.く やす.い	Composure	спокойствие | самообладание
恰	こう かっ ちょう きょう	あたか.も	Just As | As Though | Fortunately	точно като | сякаш
恷	きゅう く		Be Contrary To | Good | Nice	противопоставям се | добър
恿	よう ゆ とう つ	いさ.む	Instigate | Incite | To Alarm	подстрекавам | подбуждам
悁	えん けん		Anger | Worry | Impatience	гняв | тревога | нетърпение
悃	こん	まごころ	Sincerity	искреност
悄	しょう	うれ.える	Anxiety	тревога | безпокойство
悆	よ しょ そ	わす.れる	Happy	щастлив | радостен
悉	しつ しち	つ.きる ことごと ことごと.く つ.くす つぶさ.に	All | Entirely | Altogether | Completely | Use Up | Run Out Of | Exhaust | Befriend | Serve	всичко | напълно | изчерпвам
悊	てつ てち	うやま.う	Wise | To Know Intuitively	мъдър | интуитивен
悋	りん	ねた.む やぶさか お.しむ	Stingy	стиснат | скъперник
悍	かん	たけし あらし	Rough | Clumsy | Violent	груб | буен | жесток
悑	ふ ほ	こわ.い こわ.がる お.じる おそ.れる	Dreadful | Be Frightened | Fearful	ужасен | изплашен
悒	ゆう	ふさ.ぐ うれ.える	Be Depressed	потиснат | унил
悕	き け	おも.う かなし.む	Pray In Earnest | Be Sorrowful | Lament	моля се искрено | скърбя
悖	はい ぼつ	もと.る	Be Contrary	противореча | противопоставям се
悗	ばん まん		Be Perplexed	объркан | озадачен
悚	しょう	おそ.れる	Fear	страх
悛	しゅん せん	あらた.める	Amend	поправям се | каявам се
悝	かい り	たわむ.れる	To Laugh At | To Pity | Afflicted | Sad	подигравам се | съжалявам | тъжен
悞	ご	あやま.る	Impede | Neglect | Delay	възпрепятствам | забавям
悤	そう	にわか あわ.てる	Agitated | Restless | Hurried	развълнуван | забързан
悧	り		Clever	умен | съобразителен
您	じ に	なんじ しかり その のみ	Honorific For "you"	Вие (учтива форма)
悰	そう ず	たの.しむ	Enjoy | Amuse | Please | Joy	радост | наслада
悱	ひ	いいなや.む	To Be Desirous Of Speaking	желаещ да говори, но не намиращ думи
悳	とく		Ethics | Morality | Virtue	добродетел | морал
悴	すい	せがれ やつ.れる	Becoming Emaciated | Son	изнемощявам | син (скромно)
悵	ちょう	いた.む うら.む	Be Sad	тъжен | унил
悶	もん	もだ.える もだえ.る	Be In Agony | Worry	измъчвам се | тревожа се
悸	き		Pulsate | Shudder	туптя | разтрепервам се
悻	けい ぎょう こう	もと.る	Anger | Vexation | Angry | Indignant	гневен | възмутен
悽	せい	いたむ	Be Sad | Be Sorrowful	тъжен | скръбен
悾	こう く		Naive | Guileless | Simple-minded	наивен | простодушен
惄	でき	ひもじい	Long For | Hungry	копнея | гладен
惆	ちゅう	うら.む	Grieve Over | Be Disappointed	скърбя | разочарован
惈	か	いさ.ましい	Resolute | Determined	решителен | твърд
惊	りょう	かな.しむ	Frighten | Surprise | Startle	изплашвам | изненадвам
惋	わん	なげ.く	Regret | Be Sorry | Alarmed	съжалявам | разтревожен
惎	き	そこ.なう	Injure | Harm | Murder	нараняваш | вредя | убивам
惏	らん りん	むさぼ.る	Avaricious | Greedy | Cold	алчен | лаком
惓	けん	うむ	Be Respectful | Grow Tired	уважителен | уморен
惔	たん てん ねん えん	うれ.える	Cheerful	весел
惕	てき ちゃく	つつし.む	Be Cautious | Careful | Alert	предпазлив | внимателен | бдителен
惘	ぼう もう	あき.れる	Unclear | Be Astonished	объркан | смаян
惙	てつ てち てい	うれ.える	Sad | Melancholy | Grieving | Mourn	тъжен | меланхоличен
惛	こん びん みん	おろ.か	Confused | Stupid | Dull | Senile	объркан | тъп | изкуфял
惝	しょう とう	うっとり.する	Dejected | Dispirited | Vague | Faint | Grand	унил | отпаднал духом | неясен
惠	けい え	めぐ.む めぐ.み	Blessing | Grace | Favor | Kindness	благословия | благодат | доброта
惡	あく お	わる.い あ.し にく.い ああ いずくに いずくんぞ にく.む	Bad | Evil	лош | зъл
惮			Dread | Shrink From | Shirk | Fear	страхувам се | избягвам
惱	のう	なや.む なや.ます なや.ましい なやみ	Angered | Filled With Hate	ядосан | изпълнен с омраза
惲	うん きん	あつ.い	Devise | Plan | Deliberate | Consul	замислям | планирам
惴	ずい すい	おそ.れる	Fear | Be Afraid	страх | боязън
惵	ちょう じょう きょう	やす.らか	Fear | Worry Over | Fill | Satisfy | Calm | At Ease | Tranquil	страх | тревога | спокоен?
惶	こう	おそ.れる	Fear	страх
惷	しゅん		Confusion | Foolish	объркване | глупост
惸	けい ぎょう	うれ.える	Troubled | Worried | Distressed	разтревожен | обезпокоен
惹	じゃく じゃ	ひ.く	Attract | Captivate	привличам | запленявам
惺	せい	さと.る	Realize	осъзнавам
惻	そく しょく	いた.む	Be Sad	тъжен | състрадателен
惼	へん	せま.い	Narrow-minded	тесногръд | ограничен
惽	こん びん		Confused	объркан
愀	しゅう しょう		Respect	уважавам
愃	けん かん		Abundant | Generous	изобилен | щедър
愆	けん	あや.まる	Mistake | Fault | Offence	грешка | вина | провинение
愈	ゆ	いよいよ まさ.る	Be Superior | Heal | More And More | Increasingly | Finally | Beyond Doubt	превъзхождам | лекувам | все повече
愊	ひょく ひき ふく	まこと	Sincere | Honest | Depressed	искрен | честен
愍	びん みん	あわ.れむ	Pity | Mercy | Compassion	съжаление | милост | състрадание
愎	ふく ひょく	もと.る	Go Against | Disobey	противопоставям се | не се подчинявам
愐	べん めん	つと.める	Bashful | To Consider	срамежлив | обмислям
愒	けい けつ けち かい	いこ.う	Rest | Stop | Cover	почивам | спирам
愓	とう しょう よう	ほしいまま	Profligate	разпуснат | разточителен
愔	いん あん おん	やわ.らぐ	Comfortable | Contented | Peaceful	удобен | доволен | спокоен
愕	がく	おどろ.く	Surprised | Frightened	смаян | шокиран
愜	きょう	こころよ.い	Be Satisfied | Be Comfortable	удовлетворен | удобен
愞	ぜん ねん た な	よわ.い おそ.れる	Timid | Apprehensive	плах | боязлив
愡	そう		Meaningless | Foot Race	безсмислен | надбягване
愧	き	はじ.る はじ.らう はずかし.める とが.める	Feel Ashamed | Shy	срамувам се
愨	かく	つつし.む まこと	Respectful | Sincerely	почтителен | искрен
愪	うん いん	うれ.える うご.く	To Be Grieved | Sad	скърбящ | тъжен
愫	そ	まこと	Guileless | Sincere | Honest	простодушен | искрен | честен
愬	そ さく	うった.える	Complain Of	оплаквам се от
愰	おう こう	さとい	Clearness Of Mind | Doubtful | Uncertain	яснота на ума | несигурен
愴	そう	いたま.しい いた.む	Sad | Pathetic	тъжен | покъртителен
愷	かい	たの.しむ	Enjoy | Be Contented | Joyful	радвам се | доволен
愼	しん	つつし.む つつし.み	Care | Chastity	внимателен | предпазлив
愽	たん		Grieving	скърбящ
愾	がい き け きつ	ためいき	Anger | Breathlessness	гняв | задъхване
愿	げん	つつし.む	Respectful | Honest	почтителен | честен
慁	こん	うれ.える	Dishonor | Disobey | Insult	опозорявам | обиждам
慂	よう	すす.む すす.める	Direct | Advise	насочвам | съветвам
慅	そう しょう	うご.く	Agitated	развълнуван | неспокоен
慆	たく とう	よろこ.ぶ	Excessive | Dissolute | Delighted	прекомерен | разпуснат
慇	いん		Courtesy	учтивост
慉	きく きん きょう	おこ.す	To Bring Up | To Raise	отглеждам | възпитавам
慊	けん きょう	あきたりる うら.む	Satisfaction	удовлетворение
慍	うん おん	いか.る いか.り うら.む	Be Angry (excited)	гневя се | ядосан
慓	ひょう		Fast | Quick	бърз
慘	さん	みじ.め いた.む むご.い	Sad | Pitiful | Wretched | Cruel	тъжен | окаян | жесток
慙	ざん	はじ はじ.る	Ashamed | Humiliated | Shameful	засрамен | унизен
慚	ざん	はじ はじ.る	Feel Ashamed	засрамен | унизен
慝	とく	わる.い	Bad | Evil | Disaster	лош | зъл | бедствие
慟	どう とう	なげ.く	Be Sad | Grieve	скърбя дълбоко
慥	ぞう	たし.かに	Certainly | Doubtless	несъмнено | сигурно
